problem_id,RAG_status,CoALA_status
Mbpp/11,fail,pass
Mbpp/126,fail,pass
Mbpp/265,fail,pass
Mbpp/268,fail,pass
Mbpp/297,fail,pass
Mbpp/311,fail,pass
Mbpp/410,fail,pass
Mbpp/274,fail,pass
Mbpp/478,fail,pass
Mbpp/594,fail,pass
Mbpp/604,fail,pass
Mbpp/592,fail,pass
Mbpp/777,fail,pass
Mbpp/787,fail,pass
Mbpp/67,fail,pass
Mbpp/9,fail,pass
Mbpp/120,pass,fail
Mbpp/125,pass,fail
Mbpp/16,pass,fail
Mbpp/232,pass,fail
Mbpp/293,pass,fail
Mbpp/301,pass,fail
Mbpp/448,pass,fail
Mbpp/619,pass,fail
Mbpp/63,pass,fail
Mbpp/737,pass,fail
Mbpp/755,pass,fail
Mbpp/786,pass,fail
