problem_id,ReAct_status,CoALA_status
Mbpp/120,pass,fail
Mbpp/125,pass,fail
Mbpp/160,pass,fail
Mbpp/16,pass,fail
Mbpp/227,pass,fail
Mbpp/286,pass,fail
Mbpp/293,pass,fail
Mbpp/301,pass,fail
Mbpp/448,pass,fail
Mbpp/472,pass,fail
Mbpp/619,pass,fail
Mbpp/63,pass,fail
Mbpp/638,pass,fail
Mbpp/737,pass,fail
Mbpp/755,pass,fail
Mbpp/785,pass,fail
Mbpp/93,pass,fail
Mbpp/126,fail,pass
Mbpp/233,fail,pass
Mbpp/237,fail,pass
Mbpp/20,fail,pass
Mbpp/264,fail,pass
Mbpp/268,fail,pass
Mbpp/294,fail,pass
Mbpp/311,fail,pass
Mbpp/410,fail,pass
Mbpp/418,fail,pass
Mbpp/641,fail,pass
Mbpp/721,fail,pass
Mbpp/777,fail,pass
